Trend,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25
downtrend,1594.25,1591.85,1597,1594.3,1593.45,1591.2,1590,1590.4,1586.1,1583.15,1584.3,1583.35,1583.15,1582.35,1581.8,1580.8,1584.15,1583.75,1584.25,1585.95,1586.1,1585.4,1584,1584.05,1583.45,1583.35,1583.65,1583.9,1580.9,1577.05,1576.55,1577.05,1576.5,1572.5,1572.2,1571.55,1572.95,1571.6,1571.9,1570.6,1571.15,1571.15,1571.15,1571.35,1573.65,1572.55,1575.75,1576.1,1574.55,1575.1,1574.2,1574.1,1573.8,1572.55,1572.05,1570,1570,1567.35,1566.45,1564.55,1563.7,1562.55,1562.95,1564.8,1564.1,1564.25,1563.75,1566.35,1566.3,1561.15,1559.55,,,,
downtrend,2365,2364,2364.35,2365.05,2361.9,2362.1,2360.6,2357.85,2359.25,2359.6,2358.6,2359.75,2357.3,2358.75,2357.6,2358,2358.1,2359.3,2358.95,2359.3,2360,2360.85,2360.05,2357.8,2358.1,2354.65,2355.45,2351.4,2349,2345.15,2340.2,2338.8,2340,2339.55,2338.35,2334.2,2330,2324.5,2329.1,2328.9,2327.95,2326.9,2329.7,2329.1,2331.7,2329.5,2328.25,2327.9,2325.25,2321.8,2322.35,2320.7,2320.5,2318.5,2313.5,2311.25,2314.65,2315.55,2310.65,2306.1,2306.5,2306.25,2306.05,,,,,,,,,,,,
downtrend,518.4,520.1,518.75,518,518.5,519.1,518.6,518.7,517.25,517,517.45,517.15,516.55,516.7,516.15,515.7,515.4,515.95,516.1,516.05,516.85,516.25,515.45,514.6,515.75,515,515.05,515.25,515.05,515.9,515.65,516.3,515.8,515.5,515.7,514.55,514,513.6,512.85,512.65,512.15,511.65,512.6,514.1,513.8,513.55,513.55,512.8,512.4,512.6,512.85,512.8,512.5,512.55,512,511.8,512.15,511.7,512.1,511.65,511.85,512.3,511.45,511.95,511.95,511.75,511.45,511.2,,,,,,,
downtrend,5278.1,5280,5273.2,5269.6,5267.95,5281,5272.15,5269.3,5268.75,5268,5265.05,5260.1,5264.95,5256.3,5255.75,5256.9,5257.85,5253.4,5251.55,5248.6,5248.95,5251,5247,5245.05,5245.05,5245,5245.05,5245,5246.35,5245,5245.55,5246.45,5245,5245,5242.8,5245,5245.05,5245,5245.05,5242.75,5235,5240.55,5241,5240,5240,5239,5225.55,5227.85,5227.8,5230,5228.6,5228.3,5229.4,5228.55,5230,5227.85,5227.8,5227.8,5227.8,5227.8,5220,5224,5223,5220,5212.65,5223,5227,5220.7,5224.4,5223,5219.2,5218.65,5211.15,5212,5214
downtrend,626.4,623.2,622.3,619.55,618.45,619.65,617.3,614.65,613.85,612.7,615.15,618,615.85,614.5,613.6,614.65,615.15,616.1,615.15,613.95,613.4,610.55,611.4,610.45,612,610.2,611.55,611.25,608.5,609.1,610.05,610.65,609.8,609.3,608.5,605.95,603.5,604.8,611,611.1,609.75,608.4,608.95,608.1,612.2,610.9,609.9,609.3,608.25,607.3,609.4,610.05,606.05,605.8,604.2,604.5,606.2,606.3,605.4,602.55,604.45,603.5,601.75,601.9,598.15,597.2,602.6,600.35,597.7,600,599.9,594.2,,,
downtrend,541.3,539.05,535.3,535.6,537.65,535.6,531.75,530.1,532.55,532.75,533.2,530,530.1,531.7,530.05,530.35,530.35,528.95,528,528.35,528.7,529.1,527.85,526.3,526,524.15,524.2,522.8,522.75,520.7,521.25,521.2,518.1,514.35,513.05,509.65,509.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
downtrend,0,,,,,,,8694.05,8690.5,8683,8676.2,8667.25,8677.65,8674.35,8671.85,8682.85,8673.3,8672,8674.25,8670.85,8630.4,8629.05,8616.3,8639.8,8638.45,8644.1,8652.1,8645.2,8646.3,8630.55,8627,8635,8614.7,8605.55,8619.2,8619.9,8608.7,8619,8622,8616.05,8618,8610.1,8602.65,8607.9,8599.9,8606.55,8606.4,8587.25,8593.85,8600,8588.35,8600,8598.3,8597.05,8600.05,8600,8600.6,8597.95,8601.95,8598.5,8600.9,8598.55,8585.05,8583.95,8583.8,8586.25,8580.5,8571.1,8576.35,8575.25,,,,,
downtrend,,,,27805.1,27750,27744,27675,27656.85,27636.9,27603.2,27605.5,27582.4,27643.85,27616.2,27593.35,27577.6,27634.65,27660,27650,27616.05,27582,27616.2,27623.05,27561.9,27567.7,27552.35,27550.4,27583.55,27629,27630,27574.9,27562.95,27550,27454.9,27413.6,27347.5,27380,27340.05,27316.25,27303.6,27257.95,27268,27240,27246.3,27231.4,27223.2,27253.6,27223.35,27254.4,27262.25,27220.85,27186.95,27137,27063.05,27045,27025,27016,27000.05,27001,26907.05,26920.15,26905.1,26885.75,26823,,,,,,,,,,,
downtrend,0,,,,2466.6,2464.95,2462,2460.25,2443.7,2438.8,2444.9,2446.8,2442.6,2433.3,2433.95,2433.1,2437.8,2438.5,2442.7,2438.7,2437.9,2438.7,2437.35,2440.8,2441.9,2439.25,2438.05,2436.55,2434.5,2435.15,2437.15,2440,2439,2435.15,2436.8,2435.15,2438.15,2436.5,2435.25,2435.05,2421.85,2421.6,2424.15,2424.8,2421.6,2420.3,2420.95,2417.75,2415.85,2417.45,2414.4,2415,2412,2411.5,2410.85,2412.7,2410.15,2410,2410.05,2410.05,2409.65,2410,2410,2410.55,2410.6,2407.8,2401.55,2399.8,2397.75,2397.6,2392.95,2387.75,2381.2,2384.2,2380
downtrend,3545,3556.55,3554.65,3540.05,3530,3534.95,3527,3515,3512.05,3498.2,3489.7,3485.45,3493.85,3481.3,3473.4,3473,3466,3470,3466.65,3451.5,3451.35,3445.05,3441.35,3449.1,3447.65,3447,3442.05,3440,3430,3427.9,3428.95,3423.1,3427.7,3421,3424,3428.35,3424.5,3425,3434.45,3431.55,3433.6,3440,3433.15,3433.05,3431.5,3427.1,3429.95,3431.5,3430.35,3427.05,3423.25,3418.35,3420.3,3412.2,3411.8,,,,,,,,,,,,,,,,,,,,
